ensembl_gene_id	hgnc_symbol	TPM
ENSG00000116584	ARHGEF2	320
ENSG00000163947	ARHGEF3	310
ENSG00000213214	ARHGEF35	70
ENSG00000183111	ARHGEF37	35
ENSG00000236699	ARHGEF38	14
ENSG00000137135	ARHGEF39	430
ENSG00000136002	ARHGEF4	19
ENSG00000165801	ARHGEF40	635
ENSG00000050327	ARHGEF5	55
ENSG00000129675	ARHGEF6	2175
ENSG00000102606	ARHGEF7	606
ENSG00000131089	ARHGEF9	67
ENSG00000117713	ARID1A	1623
ENSG00000049618	ARID1B	2117
ENSG00000189079	ARID2	1757
ENSG00000116017	ARID3A	87
ENSG00000179361	ARID3B	542
ENSG00000032219	ARID4A	876
ENSG00000054267	ARID4B	1467
ENSG00000196843	ARID5A	408
ENSG00000150347	ARID5B	484
ENSG00000166233	ARIH1	1435
ENSG00000177479	ARIH2	450
ENSG00000221883	ARIH2OS	37
ENSG00000120805	ARL1	414
ENSG00000175414	ARL10	28
ENSG00000152213	ARL11	27
ENSG00000169379	ARL13B	160
ENSG00000152219	ARL14EP	25
ENSG00000185305	ARL15	27
ENSG00000214087	ARL16	550
ENSG00000185829	ARL17A	134
ENSG00000276276	ARL17B	677
ENSG00000213465	ARL2	980
ENSG00000273003	ARL2-SNX15	5
ENSG00000102931	ARL2BP	228
ENSG00000138175	ARL3	225
ENSG00000122644	ARL4A	2200
ENSG00000188042	ARL4C	303
ENSG00000162980	ARL5A	715
ENSG00000165997	ARL5B	569
ENSG00000141748	ARL5C	0
ENSG00000113966	ARL6	9
ENSG00000170540	ARL6IP1	6517
ENSG00000182196	ARL6IP4	1172
ENSG00000144746	ARL6IP5	2066
ENSG00000177917	ARL6IP6	406
ENSG00000143862	ARL8A	19
ENSG00000134108	ARL8B	757
ENSG00000196503	ARL9	58
ENSG00000104442	ARMC1	471
ENSG00000170632	ARMC10	301
ENSG00000157343	ARMC12	127
ENSG00000118690	ARMC2	26
ENSG00000169126	ARMC4	94
ENSG00000140691	ARMC5	203
ENSG00000105676	ARMC6	54
ENSG00000125449	ARMC7	0
ENSG00000114098	ARMC8	985
ENSG00000135931	ARMC9	18
ENSG00000126947	ARMCX1	251
ENSG00000184867	ARMCX2	111
ENSG00000102401	ARMCX3	439
ENSG00000196440	ARMCX4	44
ENSG00000125962	ARMCX5	116
ENSG00000198960	ARMCX6	236
ENSG00000146476	ARMT1	0
ENSG00000143437	ARNT	673
ENSG00000172379	ARNT2	16
ENSG00000133794	ARNTL	10
ENSG00000029153	ARNTL2	50
ENSG00000241685	ARPC1A	403
ENSG00000130429	ARPC1B	276
ENSG00000163466	ARPC2	4265
ENSG00000111229	ARPC3	3203
ENSG00000241553	ARPC4	657
ENSG00000162704	ARPC5	1498
ENSG00000136950	ARPC5L	323
ENSG00000242498	ARPIN	119
ENSG00000128989	ARPP19	2474
ENSG00000137486	ARRB1	487
ENSG00000141480	ARRB2	158
ENSG00000197070	ARRDC1	293
ENSG00000105643	ARRDC2	837
ENSG00000113369	ARRDC3	1057
ENSG00000140450	ARRDC4	385
ENSG00000100299	ARSA	48
ENSG00000113273	ARSB	90
ENSG00000006756	ARSD	291
ENSG00000141337	ARSG	45
ENSG00000164291	ARSK	87
ENSG00000156219	ART3	21
ENSG00000173409	ARV1	46
ENSG00000099889	ARVCF	155
ENSG00000104763	ASAH1	860
ENSG00000153317	ASAP1	242
ENSG00000151693	ASAP2	173
ENSG00000065802	ASB1	28
ENSG00000196372	ASB13	233
ENSG00000239388	ASB14	3
ENSG00000161664	ASB16	1
ENSG00000115239	ASB3	2159
ENSG00000148331	ASB6	40
ENSG00000183475	ASB7	204
ENSG00000177981	ASB8	275
ENSG00000102048	ASB9	212
ENSG00000138303	ASCC1	309
ENSG00000100325	ASCC2	400
ENSG00000112249	ASCC3	362
ENSG00000111875	ASF1A	436
ENSG00000105011	ASF1B	938
ENSG00000141505	ASGR1	45
ENSG00000116539	ASH1L	3831
ENSG00000129691	ASH2L	657
ENSG00000126522	ASL	25
ENSG00000169093	ASMTL	356
ENSG00000070669	ASNS	392
ENSG00000138381	ASNSD1	307
ENSG00000108381	ASPA	39
